id,gameid,game,side,champion,gamelength
1,1070340,1,Blue,Gnar,26.53333333
2,1070340,1,Blue,Ekko,26.53333333
3,1070340,1,Blue,Nocturne,26.53333333
4,1070340,1,Blue,Lucian,26.53333333
5,1070340,1,Blue,Thresh,26.53333333
6,1070340,1,Red,Kennen,26.53333333
7,1070340,1,Red,Hecarim,26.53333333
8,1070340,1,Red,Ryze,26.53333333
9,1070340,1,Red,Xayah,26.53333333
10,1070340,1,Red,Rakan,26.53333333
11,1070340,1,Blue, ,26.53333333
12,1070340,1,Red, ,26.53333333
13,1070330,1,Blue,Akali,38.06666667
14,1070330,1,Blue,Ekko,38.06666667
15,1070330,1,Blue,Renekton,38.06666667
16,1070330,1,Blue,Xayah,38.06666667
17,1070330,1,Blue,Rakan,38.06666667
18,1070330,1,Red,Neeko,38.06666667
19,1070330,1,Red,Rek'Sai,38.06666667
20,1070330,1,Red,Tristana,38.06666667
21,1070330,1,Red,Heimerdinger,38.06666667
22,1070330,1,Red,Morgana,38.06666667
23,1070330,1,Blue, ,38.06666667
24,1070330,1,Red, ,38.06666667
25,1070349,1,Blue,Gangplank,37.58333333
26,1070349,1,Blue,Skarner,37.58333333
27,1070349,1,Blue,Syndra,37.58333333
28,1070349,1,Blue,Tristana,37.58333333
29,1070349,1,Blue,Nautilus,37.58333333
30,1070349,1,Red,Renekton,37.58333333
31,1070349,1,Red,Ekko,37.58333333
32,1070349,1,Red,Corki,37.58333333
33,1070349,1,Red,Kai'Sa,37.58333333
34,1070349,1,Red,Alistar,37.58333333
35,1070349,1,Blue, ,37.58333333
36,1070349,1,Red, ,37.58333333
37,1070359,1,Blue,Kayle,39.48333333
38,1070359,1,Blue,Ekko,39.48333333
39,1070359,1,Blue,Karma,39.48333333
40,1070359,1,Blue,Xayah,39.48333333
41,1070359,1,Blue,Rakan,39.48333333
42,1070359,1,Red,Gnar,39.48333333
43,1070359,1,Red,Gragas,39.48333333
44,1070359,1,Red,Ryze,39.48333333
45,1070359,1,Red,Ezreal,39.48333333
46,1070359,1,Red,Leona,39.48333333
47,1070359,1,Blue, ,39.48333333
48,1070359,1,Red, ,39.48333333
49,1070365,1,Blue,Karma,39.01666667
50,1070365,1,Blue,Nocturne,39.01666667
51,1070365,1,Blue,Azir,39.01666667
52,1070365,1,Blue,Kai'Sa,39.01666667
53,1070365,1,Blue,Nautilus,39.01666667
54,1070365,1,Red,Tristana,39.01666667
55,1070365,1,Red,Elise,39.01666667
56,1070365,1,Red,Orianna,39.01666667
57,1070365,1,Red,Sivir,39.01666667
58,1070365,1,Red,Rakan,39.01666667
59,1070365,1,Blue, ,39.01666667
60,1070365,1,Red, ,39.01666667
61,1070378,1,Blue,Gnar,30.15
62,1070378,1,Blue,Jarvan IV,30.15
63,1070378,1,Blue,LeBlanc,30.15
64,1070378,1,Blue,Xayah,30.15
65,1070378,1,Blue,Rakan,30.15
66,1070378,1,Red,Gangplank,30.15
67,1070378,1,Red,Lee Sin,30.15
68,1070378,1,Red,Lissandra,30.15
69,1070378,1,Red,Kai'Sa,30.15
70,1070378,1,Red,Nautilus,30.15
71,1070378,1,Blue, ,30.15
72,1070378,1,Red, ,30.15
73,1070393,2,Blue,Renekton,34.63333333
74,1070393,2,Blue,Qiyana,34.63333333
75,1070393,2,Blue,Sylas,34.63333333
76,1070393,2,Blue,Xayah,34.63333333
77,1070393,2,Blue,Rakan,34.63333333
78,1070393,2,Red,Vladimir,34.63333333
79,1070393,2,Red,Lee Sin,34.63333333
80,1070393,2,Red,LeBlanc,34.63333333
81,1070393,2,Red,Kai'Sa,34.63333333
82,1070393,2,Red,Leona,34.63333333
83,1070393,2,Blue, ,34.63333333
84,1070393,2,Red, ,34.63333333
85,1070420,2,Blue,Renekton,34.25
86,1070420,2,Blue,Rek'Sai,34.25
87,1070420,2,Blue,Syndra,34.25
88,1070420,2,Blue,Tristana,34.25
89,1070420,2,Blue,Thresh,34.25
90,1070420,2,Red,Quinn,34.25
91,1070420,2,Red,Lee Sin,34.25
92,1070420,2,Red,Corki,34.25
93,1070420,2,Red,Xayah,34.25
94,1070420,2,Red,Rakan,34.25
95,1070420,2,Blue, ,34.25
96,1070420,2,Red, ,34.25
97,1070445,2,Blue,Renekton,30.13333333
98,1070445,2,Blue,Taliyah,30.13333333
99,1070445,2,Blue,Ryze,30.13333333
100,1070445,2,Blue,Kai'Sa,30.13333333
101,1070445,2,Blue,Pyke,30.13333333
102,1070445,2,Red,Aatrox,30.13333333
103,1070445,2,Red,Rek'Sai,30.13333333
104,1070445,2,Red,Neeko,30.13333333
105,1070445,2,Red,Caitlyn,30.13333333
106,1070445,2,Red,Thresh,30.13333333
107,1070445,2,Blue, ,30.13333333
108,1070445,2,Red, ,30.13333333
109,1070457,2,Blue,Camille,40.03333333
110,1070457,2,Blue,Taliyah,40.03333333
111,1070457,2,Blue,Pantheon,40.03333333
112,1070457,2,Blue,Kai'Sa,40.03333333
113,1070457,2,Blue,Nautilus,40.03333333
114,1070457,2,Red,Gangplank,40.03333333
115,1070457,2,Red,Lee Sin,40.03333333
116,1070457,2,Red,Akali,40.03333333
117,1070457,2,Red,Syndra,40.03333333
118,1070457,2,Red,Thresh,40.03333333
119,1070457,2,Blue, ,40.03333333
120,1070457,2,Red, ,40.03333333
121,1070463,2,Blue,Azir,24.28333333
122,1070463,2,Blue,Karthus,24.28333333
123,1070463,2,Blue,Renekton,24.28333333
124,1070463,2,Blue,Kai'Sa,24.28333333
125,1070463,2,Blue,Nautilus,24.28333333
126,1070463,2,Red,Neeko,24.28333333
127,1070463,2,Red,Lee Sin,24.28333333
128,1070463,2,Red,Zoe,24.28333333
129,1070463,2,Red,Draven,24.28333333
130,1070463,2,Red,Thresh,24.28333333
131,1070463,2,Blue, ,24.28333333
132,1070463,2,Red, ,24.28333333
133,1070475,2,Blue,Mordekaiser,30.01666667
134,1070475,2,Blue,Elise,30.01666667
135,1070475,2,Blue,Qiyana,30.01666667
136,1070475,2,Blue,Sivir,30.01666667
137,1070475,2,Blue,Pyke,30.01666667
138,1070475,2,Red,Gangplank,30.01666667
139,1070475,2,Red,Gragas,30.01666667
140,1070475,2,Red,Tristana,30.01666667
141,1070475,2,Red,Syndra,30.01666667
142,1070475,2,Red,Leona,30.01666667
143,1070475,2,Blue, ,30.01666667
144,1070475,2,Red, ,30.01666667
145,1070531,3,Blue,Kennen,33.66666667
146,1070531,3,Blue,Hecarim,33.66666667
147,1070531,3,Blue,LeBlanc,33.66666667
148,1070531,3,Blue,Kai'Sa,33.66666667
149,1070531,3,Blue,Nautilus,33.66666667
150,1070531,3,Red,Gnar,33.66666667
151,1070531,3,Red,Nocturne,33.66666667
152,1070531,3,Red,Galio,33.66666667
153,1070531,3,Red,Ashe,33.66666667
154,1070531,3,Red,Thresh,33.66666667
155,1070531,3,Blue, ,33.66666667
156,1070531,3,Red, ,33.66666667
157,1070547,3,Blue,Renekton,41.16666667
158,1070547,3,Blue,Rek'Sai,41.16666667
159,1070547,3,Blue,LeBlanc,41.16666667
160,1070547,3,Blue,Syndra,41.16666667
161,1070547,3,Blue,Leona,41.16666667
162,1070547,3,Red,Kennen,41.16666667
163,1070547,3,Red,Jarvan IV,41.16666667
164,1070547,3,Red,Orianna,41.16666667
165,1070547,3,Red,Xayah,41.16666667
166,1070547,3,Red,Rakan,41.16666667
167,1070547,3,Blue, ,41.16666667
168,1070547,3,Red, ,41.16666667
169,1070555,3,Blue,Gangplank,63.41666667
170,1070555,3,Blue,Gragas,63.41666667
171,1070555,3,Blue,Syndra,63.41666667
172,1070555,3,Blue,Xayah,63.41666667
173,1070555,3,Blue,Nautilus,63.41666667
174,1070555,3,Red,Gnar,63.41666667
175,1070555,3,Red,Skarner,63.41666667
176,1070555,3,Red,Ziggs,63.41666667
177,1070555,3,Red,Ezreal,63.41666667
178,1070555,3,Red,Rakan,63.41666667
179,1070555,3,Blue, ,63.41666667
180,1070555,3,Red, ,63.41666667
181,1070569,3,Blue,Ryze,24.6
182,1070569,3,Blue,Rek'Sai,24.6
183,1070569,3,Blue,Lissandra,24.6
184,1070569,3,Blue,Kai'Sa,24.6
185,1070569,3,Blue,Rakan,24.6
186,1070569,3,Red,Gangplank,24.6
187,1070569,3,Red,Jarvan IV,24.6
188,1070569,3,Red,LeBlanc,24.6
189,1070569,3,Red,Xayah,24.6
190,1070569,3,Red,Alistar,24.6
191,1070569,3,Blue, ,24.6
192,1070569,3,Red, ,24.6
193,1070580,3,Blue,Quinn,38.93333333
194,1070580,3,Blue,Jarvan IV,38.93333333
195,1070580,3,Blue,LeBlanc,38.93333333
196,1070580,3,Blue,Lucian,38.93333333
197,1070580,3,Blue,Braum,38.93333333
198,1070580,3,Red,Gangplank,38.93333333
199,1070580,3,Red,Gragas,38.93333333
200,1070580,3,Red,Corki,38.93333333
201,1070580,3,Red,Jhin,38.93333333
202,1070580,3,Red,Thresh,38.93333333
203,1070580,3,Blue, ,38.93333333
204,1070580,3,Red, ,38.93333333
205,1070599,T,Blue,Camille,28.38333333
206,1070599,T,Blue,Sejuani,28.38333333
207,1070599,T,Blue,Syndra,28.38333333
208,1070599,T,Blue,Lucian,28.38333333
209,1070599,T,Blue,Nautilus,28.38333333
210,1070599,T,Red,Renekton,28.38333333
211,1070599,T,Red,Nocturne,28.38333333
212,1070599,T,Red,Vladimir,28.38333333
213,1070599,T,Red,Kai'Sa,28.38333333
214,1070599,T,Red,Thresh,28.38333333
215,1070599,T,Blue, ,28.38333333
216,1070599,T,Red, ,28.38333333
217,1070624,T,Blue,Irelia,31.03333333
218,1070624,T,Blue,Elise,31.03333333
219,1070624,T,Blue,Syndra,31.03333333
220,1070624,T,Blue,Ashe,31.03333333
221,1070624,T,Blue,Thresh,31.03333333
222,1070624,T,Red,Mordekaiser,31.03333333
223,1070624,T,Red,Vi,31.03333333
224,1070624,T,Red,Vladimir,31.03333333
225,1070624,T,Red,Kai'Sa,31.03333333
226,1070624,T,Red,Nautilus,31.03333333
227,1070624,T,Blue, ,31.03333333
228,1070624,T,Red, ,31.03333333
229,1070668,4,Blue,Vladimir,30.61666667
230,1070668,4,Blue,Rek'Sai,30.61666667
231,1070668,4,Blue,Akali,30.61666667
232,1070668,4,Blue,Kai'Sa,30.61666667
233,1070668,4,Blue,Nautilus,30.61666667
234,1070668,4,Red,Kled,30.61666667
235,1070668,4,Red,Lee Sin,30.61666667
236,1070668,4,Red,Galio,30.61666667
237,1070668,4,Red,Xayah,30.61666667
238,1070668,4,Red,Rakan,30.61666667
239,1070668,4,Blue, ,30.61666667
240,1070668,4,Red, ,30.61666667
241,1060543,4,Blue,Gnar,39.41666667
242,1060543,4,Blue,Lee Sin,39.41666667
243,1060543,4,Blue,Syndra,39.41666667
244,1060543,4,Blue,Ezreal,39.41666667
245,1060543,4,Blue,Rakan,39.41666667
246,1060543,4,Red,Akali,39.41666667
247,1060543,4,Red,Jarvan IV,39.41666667
248,1060543,4,Red,Galio,39.41666667
249,1060543,4,Red,Xayah,39.41666667
250,1060543,4,Red,Nautilus,39.41666667
251,1060543,4,Blue, ,39.41666667
252,1060543,4,Red, ,39.41666667
253,1060559,4,Blue,Irelia,28.2
254,1060559,4,Blue,Rek'Sai,28.2
255,1060559,4,Blue,Neeko,28.2
256,1060559,4,Blue,Kai'Sa,28.2
257,1060559,4,Blue,Pyke,28.2
258,1060559,4,Red,Ryze,28.2
259,1060559,4,Red,Lee Sin,28.2
260,1060559,4,Red,LeBlanc,28.2
261,1060559,4,Red,Xayah,28.2
262,1060559,4,Red,Yuumi,28.2
263,1060559,4,Blue, ,28.2
264,1060559,4,Red, ,28.2
265,1060585,4,Blue,Kled,34.15
266,1060585,4,Blue,Elise,34.15
267,1060585,4,Blue,Akali,34.15
268,1060585,4,Blue,Lucian,34.15
269,1060585,4,Blue,Thresh,34.15
270,1060585,4,Red,Camille,34.15
271,1060585,4,Red,Xin Zhao,34.15
272,1060585,4,Red,LeBlanc,34.15
273,1060585,4,Red,Xayah,34.15
274,1060585,4,Red,Rakan,34.15
275,1060585,4,Blue, ,34.15
276,1060585,4,Red, ,34.15
277,1060612,4,Blue,Camille,40.56666667
278,1060612,4,Blue,Rek'Sai,40.56666667
279,1060612,4,Blue,Syndra,40.56666667
280,1060612,4,Blue,Sivir,40.56666667
281,1060612,4,Blue,Thresh,40.56666667
282,1060612,4,Red,Fiora,40.56666667
283,1060612,4,Red,Lee Sin,40.56666667
284,1060612,4,Red,LeBlanc,40.56666667
285,1060612,4,Red,Ezreal,40.56666667
286,1060612,4,Red,Blitzcrank,40.56666667
287,1060612,4,Blue, ,40.56666667
288,1060612,4,Red, ,40.56666667
289,1060652,4,Blue,Camille,30.36666667
290,1060652,4,Blue,Elise,30.36666667
291,1060652,4,Blue,Akali,30.36666667
292,1060652,4,Blue,Caitlyn,30.36666667
293,1060652,4,Blue,Lux,30.36666667
294,1060652,4,Red,Gangplank,30.36666667
295,1060652,4,Red,Lee Sin,30.36666667
296,1060652,4,Red,Lissandra,30.36666667
297,1060652,4,Red,Xayah,30.36666667
298,1060652,4,Red,Rakan,30.36666667
299,1060652,4,Blue, ,30.36666667
300,1060652,4,Red, ,30.36666667
301,1060665,T,Blue,Gangplank,27.9
302,1060665,T,Blue,Lee Sin,27.9
303,1060665,T,Blue,Twisted Fate,27.9
304,1060665,T,Blue,Xayah,27.9
305,1060665,T,Blue,Rakan,27.9
306,1060665,T,Red,Camille,27.9
307,1060665,T,Red,Nocturne,27.9
308,1060665,T,Red,LeBlanc,27.9
309,1060665,T,Red,Ashe,27.9
310,1060665,T,Red,Thresh,27.9
311,1060665,T,Blue, ,27.9
312,1060665,T,Red, ,27.9
313,1070918,2,Blue,Renekton,26.21666667
314,1070918,2,Blue,Taliyah,26.21666667
315,1070918,2,Blue,Qiyana,26.21666667
316,1070918,2,Blue,Kai'Sa,26.21666667
317,1070918,2,Blue,Alistar,26.21666667
318,1070918,2,Red,Pyke,26.21666667
319,1070918,2,Red,Gragas,26.21666667
320,1070918,2,Red,Twisted Fate,26.21666667
321,1070918,2,Red,Lucian,26.21666667
322,1070918,2,Red,Thresh,26.21666667
323,1070918,2,Blue, ,26.21666667
324,1070918,2,Red, ,26.21666667
325,1070910,1,Blue,Ornn,41.66666667
326,1070910,1,Blue,Gragas,41.66666667
327,1070910,1,Blue,Twisted Fate,41.66666667
328,1070910,1,Blue,Tristana,41.66666667
329,1070910,1,Blue,Shen,41.66666667
330,1070910,1,Red,Vladimir,41.66666667
331,1070910,1,Red,Qiyana,41.66666667
332,1070910,1,Red,Akali,41.66666667
333,1070910,1,Red,Garen,41.66666667
334,1070910,1,Red,Yuumi,41.66666667
335,1070910,1,Blue, ,41.66666667
336,1070910,1,Red, ,41.66666667
337,1070920,3,Blue,Jayce,33.1
338,1070920,3,Blue,Taliyah,33.1
339,1070920,3,Blue,Renekton,33.1
340,1070920,3,Blue,Yasuo,33.1
341,1070920,3,Blue,Gragas,33.1
342,1070920,3,Red,Gnar,33.1
343,1070920,3,Red,Skarner,33.1
344,1070920,3,Red,Akali,33.1
345,1070920,3,Red,Kai'Sa,33.1
346,1070920,3,Red,Leona,33.1
347,1070920,3,Blue, ,33.1
348,1070920,3,Red, ,33.1
349,1070922,4,Blue,Aatrox,22.71666667
350,1070922,4,Blue,Nidalee,22.71666667
351,1070922,4,Blue,Yasuo,22.71666667
352,1070922,4,Blue,Ezreal,22.71666667
353,1070922,4,Blue,Gragas,22.71666667
354,1070922,4,Red,Kennen,22.71666667
355,1070922,4,Red,Lee Sin,22.71666667
356,1070922,4,Red,Akali,22.71666667
357,1070922,4,Red,Xayah,22.71666667
358,1070922,4,Red,Yuumi,22.71666667
359,1070922,4,Blue, ,22.71666667
360,1070922,4,Red, ,22.71666667
361,1060775,1,Blue,Rumble,29.98333333
362,1060775,1,Blue,Elise,29.98333333
363,1060775,1,Blue,Lucian,29.98333333
364,1060775,1,Blue,Kai'Sa,29.98333333
365,1060775,1,Blue,Nautilus,29.98333333
366,1060775,1,Red,Kled,29.98333333
367,1060775,1,Red,Olaf,29.98333333
368,1060775,1,Red,LeBlanc,29.98333333
369,1060775,1,Red,Jinx,29.98333333
370,1060775,1,Red,Thresh,29.98333333
371,1060775,1,Blue, ,29.98333333
372,1060775,1,Red, ,29.98333333
373,1060784,2,Blue,Rumble,27.63333333
374,1060784,2,Blue,Jarvan IV,27.63333333
375,1060784,2,Blue,Neeko,27.63333333
376,1060784,2,Blue,Kai'Sa,27.63333333
377,1060784,2,Blue,Pyke,27.63333333
378,1060784,2,Red,Renekton,27.63333333
379,1060784,2,Red,Elise,27.63333333
380,1060784,2,Red,Irelia,27.63333333
381,1060784,2,Red,Ezreal,27.63333333
382,1060784,2,Red,Thresh,27.63333333
383,1060784,2,Blue, ,27.63333333
384,1060784,2,Red, ,27.63333333
385,1060790,3,Blue,Ezreal,36.98333333
386,1060790,3,Blue,Rek'Sai,36.98333333
387,1060790,3,Blue,Syndra,36.98333333
388,1060790,3,Blue,Lucian,36.98333333
